2012-04-06 11:21:49 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:36:12 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:36:12 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:36:12 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:41:50 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:41:50 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:41:50 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:42:44 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:42:44 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:42:44 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:44:17 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:44:17 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:44:17 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:44:54 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:44:54 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:44:54 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:45:52 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:45:52 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:45:52 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:47:54 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:47:54 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:47:54 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:49:05 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:49:05 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:49:05 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:49:20 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:49:20 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:49:20 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:49:32 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:49:32 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:49:32 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:49:48 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:49:48 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:49:48 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:50:43 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:50:43 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:50:43 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:51:07 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:51:07 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:51:07 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:51:44 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:51:44 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:51:44 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:51:49 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:51:49 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:51:49 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:51:57 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:51:57 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:51:57 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:52:29 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:52:29 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:52:29 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:55:06 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:55:06 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:55:06 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:56:25 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:56:25 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:56:25 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:56:55 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:56:55 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:56:55 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:57:06 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:57:06 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:57:06 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 12:57:15 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 12:57:15 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 12:57:15 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 13:00:53 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 13:00:53 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 13:00:53 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 13:01:14 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 13:01:14 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 13:01:14 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   item
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   Item...
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   description
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   Description (optional)...
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   store
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   Store...
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   shopper
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   shopper
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   date-added
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   hidden
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   04/06/12
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   time-added
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   hidden
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   12:36
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   date-needed
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   04/06/12
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   time-needed
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   12:36
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - name:   submit
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - size:   
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - type:   submit
2012-04-06 13:01:14 | DEBUG | [instantiateFromYAML] | adding property - value:   Submit
2012-04-06 13:01:28 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 13:01:28 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 13:01:28 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   item
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   Item...
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   description
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   Description (optional)...
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   store
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   Store...
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   shopper
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   shopper
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   date-added
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   hidden
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   04/06/12
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   time-added
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   hidden
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   12:36
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   date-needed
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   04/06/12
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   time-needed
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   12:36
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - name:   submit
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - size:   
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - type:   submit
2012-04-06 13:01:28 | DEBUG | [instantiateFromYAML] | adding property - value:   Submit
2012-04-06 13:03:34 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 13:03:34 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 13:03:34 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 13:09:34 | DEBUG | [Form::__construct] | action set to index.php
2012-04-06 13:09:34 | DEBUG | [Form::toString()] | leaving toString, action set to index.php
2012-04-06 13:09:34 | DEBUG | [index.php::buildPage()] | have just echoed form
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - name:   item
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - value:   Item...
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - name:   description
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - value:   Description (optional)...
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - name:   store
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - value:   Store...
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - name:   shopper
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - size:   16
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - type:   text
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - value:   shopper
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | creating new instance of Input
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - maxlength:   10
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - name:   date-added
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - size:   10
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - type:   hidden
2012-04-06 13:09:34 | DEBUG | [instantiateFromYAML] | adding property - value:   04/06/12
